symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
FB,2019-11-14 00:00:00+00:00,193.15,194.03,191.45,192.93,9059897,193.15,0.0,194.03,191.45,192.93,1.0,9059897
FB,2019-11-15 00:00:00+00:00,195.1,195.3,193.38,194.26,11530232,195.1,0.0,195.3,193.38,194.26,1.0,11530232
FB,2019-11-18 00:00:00+00:00,197.4,198.63,193.05,194.56,16176107,197.4,0.0,198.63,193.05,194.56,1.0,16176107
FB,2019-11-19 00:00:00+00:00,199.32,200.0,196.86,197.4,19070291,199.32,0.0,200.0,196.86,197.4,1.0,19070291
FB,2019-11-20 00:00:00+00:00,197.51,199.59,195.43,198.58,12370240,197.51,0.0,199.59,195.43,198.58,1.0,12370240
FB,2019-11-21 00:00:00+00:00,197.93,199.09,196.86,197.42,12130985,197.93,0.0,199.09,196.86,197.42,1.0,12130985
FB,2019-11-22 00:00:00+00:00,198.82,199.3,197.62,198.38,9959817,198.82,0.0,199.3,197.62,198.38,1.0,9959817
FB,2019-11-25 00:00:00+00:00,199.79,200.97,199.25,199.515,15286442,199.79,0.0,200.97,199.25,199.515,1.0,15286442
FB,2019-11-26 00:00:00+00:00,198.97,200.15,198.0387,200.0,11748664,198.97,0.0,200.15,198.0387,200.0,1.0,11748664
FB,2019-11-27 00:00:00+00:00,202.0,203.14,199.42,199.9,12760568,202.0,0.0,203.14,199.42,199.9,1.0,12760568
FB,2019-11-29 00:00:00+00:00,201.64,203.8,201.21,201.6,7985231,201.64,0.0,203.8,201.21,201.6,1.0,7985231
FB,2019-12-02 00:00:00+00:00,199.7,202.18,198.05,202.13,11542020,199.7,0.0,202.18,198.05,202.13,1.0,11542020
FB,2019-12-03 00:00:00+00:00,198.82,198.93,195.08,197.6,13014170,198.82,0.0,198.93,195.08,197.6,1.0,13014170
FB,2019-12-04 00:00:00+00:00,198.71,200.0288,198.05,200.0,8459939,198.71,0.0,200.0288,198.05,200.0,1.0,8459939
FB,2019-12-05 00:00:00+00:00,199.36,201.29,198.2126,199.86,9755350,199.36,0.0,201.29,198.2126,199.86,1.0,9755350
FB,2019-12-06 00:00:00+00:00,201.05,201.57,200.06,200.5,12279525,201.05,0.0,201.57,200.06,200.5,1.0,12279525
FB,2019-12-09 00:00:00+00:00,201.34,203.1418,200.21,200.65,12013218,201.34,0.0,203.1418,200.21,200.65,1.0,12013218
FB,2019-12-10 00:00:00+00:00,200.87,202.05,200.15,201.66,9485568,200.87,0.0,202.05,200.15,201.66,1.0,9485568
FB,2019-12-11 00:00:00+00:00,202.26,202.63,200.28,200.28,8041827,202.26,0.0,202.63,200.28,200.28,1.0,8041827
FB,2019-12-12 00:00:00+00:00,196.75,203.66,194.1,202.35,23766986,196.75,0.0,203.66,194.1,202.35,1.0,23766986
FB,2019-12-13 00:00:00+00:00,194.11,196.8,193.17,196.4,18806020,194.11,0.0,196.8,193.17,196.4,1.0,18806020
FB,2019-12-16 00:00:00+00:00,197.92,199.12,194.81,195.27,14922733,197.92,0.0,199.12,194.81,195.27,1.0,14922733
FB,2019-12-17 00:00:00+00:00,198.39,199.0,196.13,198.84,10177605,198.39,0.0,199.0,196.13,198.84,1.0,10177605
FB,2019-12-18 00:00:00+00:00,202.5,204.3,200.09,200.09,23284746,202.5,0.0,204.3,200.09,200.09,1.0,23284746
FB,2019-12-19 00:00:00+00:00,206.06,206.3,202.51,202.78,16808184,206.06,0.0,206.3,202.51,202.78,1.0,16808184
FB,2019-12-20 00:00:00+00:00,206.3,207.71,203.43,207.48,27315226,206.3,0.0,207.71,203.43,207.48,1.0,27315226
